2026-08-06 17:15:53 | INFO | fastapi_app | GET /products/1 -> 200 (8.86 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | PUT /products/1 -> 200 (22.43 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | DELETE /products/1 -> 200 (22.43 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | GET /products/1 -> 404 (6.13 ms)
2026-08-06 17:15:54 | INFO | fastapi_app | POST /auth/register -> 201 (469.57 ms)
2026-08-06 17:15:54 | INFO | fastapi_app | POST /auth/login -> 200 (475.10 ms)
2026-08-06 17:15:55 | INFO | fastapi_app | POST /auth/register -> 201 (598.70 ms)
2026-08-06 17:15:55 | INFO | fastapi_app | POST /auth/login -> 200 (636.45 ms)
2026-08-06 17:15:55 | INFO | fastapi_app | POST /products -> 201 (21.67 ms)
2026-08-06 17:15:55 | INFO | fastapi_app | PUT /products/1 -> 403 (6.27 ms)
2026-08-07 13:21:23 | INFO | fastapi_app | Application Started
2026-08-07 13:23:54 | INFO | fastapi_app | POST /auth/register -> 201 (382.87 ms)
2026-08-07 13:24:01 | INFO | fastapi_app | POST /auth/login -> 401 (285.38 ms)
2026-08-07 13:24:06 | INFO | fastapi_app | POST /auth/login -> 200 (336.50 ms)
2026-08-07 13:24:06 | INFO | fastapi_app | GET /user/profile -> 200 (9.93 ms)
2026-08-07 13:24:06 | INFO | fastapi_app | GET /user/dashboard -> 200 (3.61 ms)
2026-08-07 13:24:06 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.65 ms)
2026-08-07 13:24:12 | INFO | fastapi_app | GET /products -> 200 (28.54 ms)
2026-08-07 13:24:12 | INFO | fastapi_app | GET /products -> 200 (4.55 ms)
2026-08-07 13:24:18 | INFO | fastapi_app | GET /user/dashboard -> 200 (5.33 ms)
2026-08-07 13:24:18 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.27 ms)
2026-08-07 13:24:35 | INFO | fastapi_app | POST /auth/login -> 200 (295.41 ms)
2026-08-07 13:24:35 | INFO | fastapi_app | GET /user/profile -> 200 (4.68 ms)
2026-08-07 13:24:35 | INFO | fastapi_app | GET /user/dashboard -> 200 (5.27 ms)
2026-08-07 13:24:35 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.47 ms)
2026-08-07 13:24:38 | INFO | fastapi_app | GET /products -> 200 (7.57 ms)
2026-08-07 13:24:38 | INFO | fastapi_app | GET /products -> 200 (4.88 ms)
2026-08-07 13:24:41 | INFO | fastapi_app | GET /products -> 200 (6.56 ms)
2026-08-07 13:24:41 | INFO | fastapi_app | GET /products -> 200 (4.29 ms)
2026-08-07 13:24:55 | INFO | fastapi_app | POST /products -> 201 (11.94 ms)
2026-08-07 13:24:55 | INFO | fastapi_app | GET /products -> 200 (6.85 ms)
2026-08-07 13:34:14 | INFO | fastapi_app | GET /user/dashboard -> 200 (6.55 ms)
2026-08-07 13:34:14 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.72 ms)
2026-08-07 13:34:19 | INFO | fastapi_app | GET /user/dashboard -> 200 (6.78 ms)
2026-08-07 13:34:19 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.61 ms)
2026-08-07 13:34:20 | INFO | fastapi_app | GET /user/dashboard -> 200 (5.47 ms)
2026-08-07 13:34:20 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.39 ms)
2026-08-07 13:34:20 | INFO | fastapi_app | GET /user/dashboard -> 200 (9.22 ms)
2026-08-07 13:34:20 | INFO | fastapi_app | GET /user/dashboard -> 200 (3.48 ms)
2026-08-07 13:34:21 | INFO | fastapi_app | GET /user/dashboard -> 200 (6.98 ms)
2026-08-07 13:34:21 | INFO | fastapi_app | GET /user/dashboard -> 200 (3.82 ms)
2026-08-07 13:34:21 | INFO | fastapi_app | GET /user/dashboard -> 200 (5.45 ms)
2026-08-07 13:34:21 | INFO | fastapi_app | GET /user/dashboard -> 200 (4.48 ms)
2026-08-07 13:38:40 | INFO | fastapi_app | GET /user/dashboard -> 200 (6.89 ms)
2026-08-07 13:38:40 | INFO | fastapi_app | GET /user/dashboard -> 200 (3.91 ms)
2026-08-07 13:38:41 | INFO | fastapi_app | GET /user/dashboard -> 200 (7.78 ms)
2026-08-07 13:38:41 | INFO | fastapi_app | GET /user/dashboard -> 200 (2.81 ms)
2026-08-07 13:38:51 | INFO | fastapi_app | PUT /user/update -> 200 (11.85 ms)
2026-08-07 13:38:54 | INFO | fastapi_app | GET /user/dashboard -> 404 (6.07 ms)
2026-08-07 13:38:54 | INFO | fastapi_app | GET /user/dashboard -> 404 (4.23 ms)
2026-08-07 13:39:04 | INFO | fastapi_app | GET /user/dashboard -> 404 (5.37 ms)
2026-08-07 13:39:04 | INFO | fastapi_app | GET /user/dashboard -> 404 (4.94 ms)
2026-08-07 13:39:06 | INFO | fastapi_app | GET /user/dashboard -> 404 (6.84 ms)
2026-08-07 13:39:06 | INFO | fastapi_app | GET /user/dashboard -> 404 (3.64 ms)
